Feature,Commercial License,Free,Feature Status
Base Coding,✔,✔,ready
Base Lua Debugging,✔,✔,ready
Cocos2d-X UI Editing,✔,✔,ready
Cocos2d-X Particle2D Editing,✔,✔,ready
CocosStudio2.x csb/json UI Import,✔,✔,ready
AES CBC EncryptSystem,✔,✔,ready
Auto word complete,✔,✔,ready
API complete,✔,✔,ready
ClangFormat Integration,✔,✔,ready
Languages EN & CN,✔,✔,ready
Locate file at output view,✔,✔,ready
Select Find result pane,✔,✔,ready
Luacheck Integration,✔,✔,ready
Save File As Admin,✔,❌,ready
Lua Attach To Process,✔,❌,ready
Auto Upgrade,✔,❌,ready
Code Sinppets,✔,❌,ready
Display Watch value as binary,✔,❌,ready
Mapping find results lines,✔,❌,ready
Publish to cocostudio(.ccs),✔,❌,ready
EncryptSystem Flat file,✔,❌,ready
EncryptSystem plugin support,✔,❌,ready
Lua Debugging watch Visualized Tools,✔,❌,ready
Lua Debugging QuickInfo support,✔,❌,ready
Lua Debugging display c++ stack,✔,❌,ready
Press Shift/Ctrl to display shell context menu,✔,❌,ready
MinMap ScrollBar,✔,❌,ready
Color picker tool,✔,❌,ready
Always Update,✔,❌,ready
Technical Supports,✔,❌,ready
